date,article,msft
2015-11-03,http://www.ibtimes.com/press-release/20151103/leadspace-taps-brian-bachofner-accelerate-strategic-alliances-new-channel,msft,
2015-11-03,http://www.ibtimes.com/apple-ipad-pro-4-best-features-2166426,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/audiocodes-reports-third-quarter-2015-results-2166311,msft,
2015-11-03,http://www.ibtimes.com/avail-microsoft-surface-pro-4-surface-book-trade-deal-best-buy-promo-ends-nov-7-2166183,msft,
2015-11-03,http://www.ibtimes.com/press-release/20151103/retail-banks-ict-investment-trends-patterns-end-2016-2166289,msft,
2015-11-02,http://www.ibtimes.com/amazon-expands-benefits-boosts-its-paid-maternity-leave-birth-mothers-adds-paid-2165856,msft,
2015-11-02,http://www.ibtimes.com/press-release/20151102/opentext-named-leader-gartners-magic-quadrant-enterprise-content-management,msft,
2015-11-02,http://www.ibtimes.com/press-release/20151102/onx-enterprise-solutions-appoints-michael-j-aniballi-president-momentum,msft,
2015-11-02,http://www.ibtimes.com/new-xbox-one-experience-gets-update-preview-microsoft-rolls-out-loyalty-rewards-2164508,msft,
2015-10-30,http://www.ibtimes.com/report-microsoft-windows-10-update-going-make-your-pc-lot-more-mac-2163294,msft,
2015-10-30,http://www.ibtimes.com/htcs-future-doubt-how-chinese-rivals-xiaomi-huawei-undercut-taiwans-once-dominant-2163237,msft,
2015-10-30,http://www.ibtimes.com/meet-laura-bailey-voice-behind-world-warcrafts-jaina-proudmoore-spartan-vale-halo-5-2162296,msft,
2015-10-30,http://www.ibtimes.com/windows-10-coming-your-pc-even-if-you-didnt-ask-it-2162992,msft,
2015-10-29,http://www.ibtimes.com/google-fold-desktop-based-chrome-os-more-popular-android-operating-system-report-says-2162677,msft,
2015-10-29,http://www.ibtimes.com/press-release/20151029/hcl-technologies-acquires-crm-services-provider-powerobjects-2162468,msft,
2015-10-29,http://www.ibtimes.com/press-release/20151029/bt-group-plc-results-second-quarter-half-year-30-september-2015-2162344,msft,
