date,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors,price_change
2015-10-26,44,31,1,894,0,0,-0.031911345
2015-11-11,56,33,20,873,13,9,-0.005652103
2015-10-28,315,113,2,4489,1,1,0.041204661
2015-10-28,32,7,5,586,2,0,0.041204661
2015-11-05,37,23,1,363,2,0,-0.008852475
2015-11-05,31,20,2,374,2,0,-0.008852475
2015-10-22,41,6,4,410,7,0,0.015295341
2015-10-26,21,5,1,283,1,1,-0.031911345
2015-10-20,99,10,2,1177,2,0,0.018258247
2015-10-30,36,16,2,362,3,1,-0.008545582
2015-10-25,65,46,2,1241,0,0,-0.031911345
2015-11-02,23,27,1,560,0,0,0.014058577
2015-11-11,67,5,1,673,2,0,-0.005652103
2015-11-04,62,17,1,1040,0,0,-0.004650404
2015-10-28,47,12,1,882,0,0,0.041204661
2015-11-11,72,13,10,921,8,0,-0.005652103
2015-10-22,32,7,1,533,1,0,0.015295341
2015-11-05,37,1,1,364,1,0,-0.008852475
2015-11-11,28,10,8,507,4,1,-0.005652103
2015-10-27,81,11,1,870,0,0,-0.006332373
2015-10-31,28,5,1,454,0,0,0.014058577
2015-11-10,944,1858,1,26730,2,0,-0.031516986
2015-11-05,53,16,7,582,7,0,-0.008852475
2015-11-12,34,7,3,549,0,0,-0.003358884
2015-11-12,25,14,2,272,1,2,-0.003358884
2015-10-20,22,2,4,283,0,0,0.018258247
2015-11-06,97,9,12,971,10,0,0.00115779
2015-11-13,20,2,18,334,4,2,-0.029208477
2015-10-19,13,2,1,243,0,0,0.006213995
2015-10-19,42,2,1,392,1,0,0.006213995
2015-10-21,23,3,1,335,0,0,-8.78527E-05
2015-10-16,77,23,1,625,2,0,-0.007330592
2015-10-26,31,6,0,416,0,0,-0.031911345
2015-11-11,30,1,1,273,1,0,-0.005652103
2015-10-16,60,20,11,690,7,5,-0.007330592
2015-10-21,21,9,7,339,1,2,-8.78527E-05
2015-11-11,24,7,11,388,3,3,-0.005652103
2015-10-20,34,12,9,577,4,0,0.018258247
2015-10-30,12,7,1,197,2,0,-0.008545582
2015-10-29,58,2,16,675,12,0,0.010564283
2015-10-28,26,9,1,396,1,1,0.041204661
2015-10-19,26,22,3,450,1,0,0.006213995
2015-11-03,72,2,2,375,3,0,0.01147054
2015-11-13,50,7,1,615,0,0,-0.029208477
2015-11-03,23,5,4,308,0,1,0.01147054
2015-11-11,31,14,1,355,0,0,-0.005652103
2015-11-11,29,9,2,411,1,0,-0.005652103
2015-10-22,19,23,5,428,1,2,0.015295341
2015-11-10,29,37,1,507,1,1,-0.031516986
2015-11-07,20,7,8,372,1,0,-0.004047563
2015-10-19,37,9,6,363,4,1,0.006213995
2015-11-10,47,22,2,711,0,2,-0.031516986
2015-10-20,31,5,0,366,0,0,0.018258247
2015-10-21,20,1,10,329,14,0,-8.78527E-05
2015-10-29,60,13,1,725,2,0,0.010564283
2015-11-09,19,6,2,361,2,0,-0.004047563
2015-10-22,24,11,1,319,2,0,0.015295341
2015-11-12,21,1,7,378,3,1,-0.003358884
2015-10-22,18,3,1,262,1,0,0.015295341
2015-10-26,15,12,7,296,2,5,-0.031911345
2015-10-28,59,21,1,1197,2,0,0.041204661
2015-10-30,20,6,9,345,1,0,-0.008545582
2015-11-10,29,3,1,332,1,0,-0.031516986
2015-11-11,78,23,1,747,0,0,-0.005652103
2015-11-05,25,5,1,413,0,0,-0.008852475
2015-11-05,22,3,4,279,2,0,-0.008852475
2015-10-19,52,21,3,995,3,0,0.006213995
2015-10-23,18,11,3,417,1,0,0.030995688
2015-10-20,16,2,7,235,6,0,0.018258247
2015-11-06,84,30,2,1592,0,0,0.00115779
2015-11-10,70,10,1,670,1,0,-0.031516986
2015-11-12,63,27,12,859,10,2,-0.003358884
2015-10-23,54,13,8,807,7,1,0.030995688
2015-11-03,19,9,2,251,3,0,0.01147054
2015-11-13,71,74,1,1221,1,1,-0.029208477
2015-11-06,27,3,9,331,7,0,0.00115779
2015-10-28,33,5,1,391,0,1,0.041204661
2015-11-03,42,8,12,487,8,3,0.01147054
2015-10-18,146,6,1,1052,1,0,0.006213995
2015-10-30,15,1,7,210,5,2,-0.008545582
2015-10-19,20,12,10,323,6,0,0.006213995
2015-11-11,13,3,4,229,2,0,-0.005652103
2015-11-03,51,21,3,836,1,0,0.01147054
2015-11-12,0,0,0,3,0,0,-0.003358884
2015-10-29,31,11,1,499,0,0,0.010564283
2015-10-19,0,0,0,3,0,0,0.006213995
2015-11-04,44,7,17,578,19,1,-0.004650404
2015-11-02,28,13,8,472,3,3,0.014058577
2015-10-27,17,2,3,144,4,0,-0.006332373
2015-11-12,18,7,11,406,4,3,-0.003358884
2015-11-03,15,3,1,244,0,0,0.01147054
2015-11-02,37,2,4,306,4,0,0.014058577
2015-11-12,36,41,12,765,5,7,-0.003358884
2015-10-20,21,10,5,326,4,2,0.018258247
2015-10-21,11,0,0,343,0,0,-8.78527E-05
2015-10-26,42,20,5,1140,1,0,-0.031911345
